number,title,issn,eissn,publisher
1,20 ET 21-REVUE D HISTOIRE,2649664X,26496100,PRESSES SCIENCES PO
2,2D MATERIALS,20531583,20531583,IOP PUBLISHING LTD
3,3 BIOTECH,2190572X,21905738,SPRINGER HEIDELBERG
4,3D PRINTING AND ADDITIVE MANUFACTURING,23297662,23297670,"MARY ANN LIEBERT, INC"
5,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,16194500,16142411,SPRINGER HEIDELBERG
6,A + U-ARCHITECTURE AND URBANISM,03899160,,A & U PUBL CO LTD
7,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,01715410,,GUNTER NARR VERLAG
8,AAPG BULLETIN,01491423,15589153,AMER ASSOC PETROLEUM GEOLOGIST
9,AAPS JOURNAL,15507416,15507416,SPRINGER
10,AAPS PHARMSCITECH,15309932,15309932,SPRINGER
11,AATCC JOURNAL OF RESEARCH,24723444,23305517,SAGE PUBLICATIONS INC
12,AATCC REVIEW,15328813,15328813,AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC
13,AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,21664072,21649731,AB IMPERIO INC
14,ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,00013072,14676281,WILEY
15,ABDOMINAL RADIOLOGY,2366004X,23660058,SPRINGER
16,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,00255858,18658784,SPRINGER HEIDELBERG
17,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10128255,20565127,EMERALD GROUP PUBLISHING LTD
18,ACADEMIC EMERGENCY MEDICINE,10696563,15532712,WILEY
19,ACADEMIC MEDICINE,10402446,1938808X,LIPPINCOTT WILLIAMS & WILKINS
20,ACADEMIC PEDIATRICS,18762859,18762867,ELSEVIER SCIENCE INC
21,ACADEMIC PSYCHIATRY,10429670,15457230,SPRINGER
22,ACADEMIC RADIOLOGY,10766332,18784046,ELSEVIER SCIENCE INC
23,ACADEMY OF MANAGEMENT ANNALS,19416520,19416067,ACAD MANAGEMENT
24,ACADEMY OF MANAGEMENT DISCOVERIES,,21681007,ACAD MANAGEMENT
25,ACADEMY OF MANAGEMENT JOURNAL,00014273,19480989,ACAD MANAGEMENT
26,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1537260X,19449585,ACAD MANAGEMENT
27,ACADEMY OF MANAGEMENT PERSPECTIVES,15589080,19434529,ACAD MANAGEMENT
28,ACADEMY OF MANAGEMENT REVIEW,03637425,19303807,ACAD MANAGEMENT
29,ACADIENSIS,00445851,17127432,UNIV NEW BRUNSWICK
30,ACAROLOGIA,0044586X,21077207,ACAROLOGIA-UNIVERSITE PAUL VALERY
31,ACCIDENT ANALYSIS AND PREVENTION,00014575,18792057,PERGAMON-ELSEVIER SCIENCE LTD
32,ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,08989621,15455815,TAYLOR & FRANCIS INC
33,ACCOUNTING AND BUSINESS RESEARCH,00014788,21594260,
34,ACCOUNTING AND FINANCE,08105391,1467629X,WILEY
35,ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,09513574,17584205,EMERALD GROUP PUBLISHING LTD
36,ACCOUNTING FORUM,01559982,14676303,TAYLOR & FRANCIS LTD
37,ACCOUNTING HORIZONS,08887993,15587975,AMER ACCOUNTING ASSOC
38,ACCOUNTING ORGANIZATIONS AND SOCIETY,03613682,18736289,PERGAMON-ELSEVIER SCIENCE LTD
39,ACCOUNTING REVIEW,00014826,15587967,AMER ACCOUNTING ASSOC
40,ACCOUNTS OF CHEMICAL RESEARCH,00014842,15204898,AMER CHEMICAL SOC
41,ACCREDITATION AND QUALITY ASSURANCE,09491775,14320517,SPRINGER
42,ACI MATERIALS JOURNAL,0889325X,1944737X,AMER CONCRETE INST
43,ACI STRUCTURAL JOURNAL,08893241,19447361,AMER CONCRETE INST
44,ACM COMPUTING SURVEYS,03600300,15577341,ASSOC COMPUTING MACHINERY
45,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,15564673,15564711,ASSOC COMPUTING MACHINERY
46,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,15504832,15504840,ASSOC COMPUTING MACHINERY
47,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,01464833,19435819,ASSOC COMPUTING MACHINERY
48,ACM TRANSACTIONS ON ALGORITHMS,15496325,15496333,ASSOC COMPUTING MACHINERY
49,ACM TRANSACTIONS ON APPLIED PERCEPTION,15443558,15443965,ASSOC COMPUTING MACHINERY
50,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,15443566,15443973,ASSOC COMPUTING MACHINERY
51,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,23754699,23754702,ASSOC COMPUTING MACHINERY
52,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,15564665,15564703,ASSOC COMPUTING MACHINERY
53,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,15293785,1557945X,ASSOC COMPUTING MACHINERY
54,ACM TRANSACTIONS ON COMPUTER SYSTEMS,07342071,15577333,ASSOC COMPUTING MACHINERY
55,ACM TRANSACTIONS ON COMPUTER- HUMAN INTERACTION,10730516,15577325,ASSOC COMPUTING MACHINERY
56,ACM TRANSACTIONS ON COMPUTING EDUCATION,19466226,19466226,ASSOC COMPUTING MACHINERY
57,ACM TRANSACTIONS ON DATABASE SYSTEMS,03625915,15574644,ASSOC COMPUTING MACHINERY
58,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,10844309,15577309,ASSOC COMPUTING MACHINERY
59,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,15399087,15583465,ASSOC COMPUTING MACHINERY
60,ACM TRANSACTIONS ON GRAPHICS,07300301,15577368,ASSOC COMPUTING MACHINERY
61,ACM TRANSACTIONS ON INFORMATION SYSTEMS,10468188,15582868,ASSOC COMPUTING MACHINERY
62,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,21576904,21576912,ASSOC COMPUTING MACHINERY
63,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,21606455,21606463,ASSOC COMPUTING MACHINERY
64,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,15335399,15576051,ASSOC COMPUTING MACHINERY
65,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,15564681,1556472X,ASSOC COMPUTING MACHINERY
66,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,00983500,15577295,ASSOC COMPUTING MACHINERY
67,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,10493301,15581195,ASSOC COMPUTING MACHINERY
68,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,15516857,15516865,ASSOC COMPUTING MACHINERY
69,ACM TRANSACTIONS ON PRIVACY AND SECURITY,24712566,24712574,ASSOC COMPUTING MACHINERY
70,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,01640925,15584593,ASSOC COMPUTING MACHINERY
71,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,19367406,19367414,ASSOC COMPUTING MACHINERY
72,ACM TRANSACTIONS ON SENSOR NETWORKS,15504859,15504867,ASSOC COMPUTING MACHINERY
73,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049331X,15577392,ASSOC COMPUTING MACHINERY
74,ACM TRANSACTIONS ON STORAGE,15533077,15533093,ASSOC COMPUTING MACHINERY
75,ACM TRANSACTIONS ON THE WEB,15591131,1559114X,ASSOC COMPUTING MACHINERY
76,ACOUSTICAL PHYSICS,10637710,15626865,PLEIADES PUBLISHING INC
77,ACOUSTICS AUSTRALIA,08146039,18392571,SPRINGER SINGAPORE PTE LTD
78,ACROSS LANGUAGES AND CULTURES,15851923,15882519,AKADEMIAI KIADO ZRT
79,ACS APPLIED ELECTRONIC MATERIALS,,26376113,AMER CHEMICAL SOC
80,ACS APPLIED ENERGY MATERIALS,25740962,25740962,AMER CHEMICAL SOC
81,ACS APPLIED MATERIALS & INTERFACES,19448244,19448252,AMER CHEMICAL SOC
82,ACS APPLIED NANO MATERIALS,,25740970,AMER CHEMICAL SOC
83,ACS APPLIED POLYMER MATERIALS,26376105,26376105,AMER CHEMICAL SOC
84,ACS BIOMATERIALS SCIENCE & ENGINEERING,23739878,23739878,AMER CHEMICAL SOC
85,ACS CATALYSIS,21555435,21555435,AMER CHEMICAL SOC
86,ACS CENTRAL SCIENCE,23747943,23747951,AMER CHEMICAL SOC
87,ACS CHEMICAL BIOLOGY,15548929,15548937,AMER CHEMICAL SOC
88,ACS CHEMICAL NEUROSCIENCE,19487193,19487193,AMER CHEMICAL SOC
89,ACS EARTH AND SPACE CHEMISTRY,24723452,24723452,AMER CHEMICAL SOC
90,ACS ENERGY LETTERS,23808195,23808195,AMER CHEMICAL SOC
91,ACS INFECTIOUS DISEASES,23738227,23738227,AMER CHEMICAL SOC
92,ACS MACRO LETTERS,,21611653,AMER CHEMICAL SOC
93,ACS MATERIALS LETTERS,,26394979,AMER CHEMICAL SOC
94,ACS MEDICINAL CHEMISTRY LETTERS,19485875,19485875,AMER CHEMICAL SOC
95,ACS NANO,19360851,1936086X,AMER CHEMICAL SOC
96,ACS OMEGA,24701343,24701343,AMER CHEMICAL SOC
97,ACS PHOTONICS,23304022,23304022,AMER CHEMICAL SOC
98,ACS SENSORS,23793694,23793694,AMER CHEMICAL SOC
99,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,21680485,21680485,AMER CHEMICAL SOC
100,ACS SYNTHETIC BIOLOGY,21615063,21615063,AMER CHEMICAL SOC
101,ACSMS HEALTH & FITNESS JOURNAL,10915397,1536593X,LIPPINCOTT WILLIAMS & WILKINS
102,ACTA ACUSTICA,,26814617,EDP SCIENCES S A
103,ACTA ADRIATICA,00015113,18460453,INST OCEANOGRAFIJU I RIBARSTVO
104,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,09064702,16511972,TAYLOR & FRANCIS LTD
105,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,09064710,16511913,TAYLOR & FRANCIS LTD
106,ACTA ALIMENTARIA,01393006,15882535,AKADEMIAI KIADO ZRT
107,ACTA AMAZONICA,00445967,18094392,
108,ACTA ANAESTHESIOLOGICA SCANDINAVICA,00015172,13996576,WILEY
109,ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,03535150,18746349,SPRINGER
110,ACTA APPLICANDAE MATHEMATICAE,01678019,15729036,SPRINGER
111,ACTA ARCHAEOLOGICA,0065101X,16000390,BRILL
112,ACTA ARITHMETICA,00651036,17306264,POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN
113,ACTA ASTRONAUTICA,00945765,18792030,PERGAMON-ELSEVIER SCIENCE LTD
114,ACTA ASTRONOMICA,00015237,00015237,COPERNICUS FOUNDATION POLISH ASTRONOMY
